time,open,high,low,close,volume,spread
2025-12-01,4225.62,4264.46,4205.48,4232.46,201664,21
2025-12-02,4231.41,4235.83,4163.52,4207.94,173418,21
2025-12-03,4202.81,4241.52,4194.55,4206.04,177561,21
2025-12-04,4206.7,4219.65,4174.99,4208.59,173666,21
2025-12-05,4208.9,4259.21,4191.95,4196.86,172590,22
2025-12-08,4203.18,4218.84,4176.0,4188.88,171670,22
2025-12-09,4191.81,4221.32,4169.92,4209.39,182763,21
2025-12-10,4208.78,4238.71,4181.87,4228.33,173644,21
2025-12-11,4227.95,4285.9,4204.2,4282.98,190870,21
2025-12-12,4282.67,4353.6,4257.76,4302.74,207660,21
2025-12-15,4303.29,4350.22,4285.22,4302.43,191343,21
2025-12-16,4307.19,4334.98,4271.33,4303.65,193998,21
2025-12-17,4303.64,4348.86,4302.57,4340.88,198333,21
2025-12-18,4339.04,4374.58,4308.8,4332.13,193546,21
2025-12-19,4335.61,4356.48,4309.22,4338.6,170634,21
2025-12-22,4340.69,4449.15,4339.69,4445.53,158852,21
2025-12-23,4449.47,4499.69,4430.36,4488.47,189381,21
2025-12-24,4488.37,4525.57,4448.43,4479.48,170424,21
2025-12-26,4486.88,4549.7,4482.2,4531.49,208488,21
2025-12-29,4540.32,4545.98,4300.55,4332.35,236150,22
2025-12-30,4340.31,4404.06,4323.48,4346.58,215709,22
2025-12-31,4341.02,4373.08,4274.6,4314.45,206674,24
2026-01-02,4327.16,4402.24,4309.64,4330.51,179738,22
2026-01-05,4356.68,4455.66,4349.83,4448.38,210092,22
2026-01-06,4454.29,4497.33,4427.81,4497.22,191587,24
2026-01-07,4498.38,4500.44,4423.36,4452.94,200460,23
2026-01-08,4461.79,4479.49,4407.66,4476.47,205880,23
2026-01-09,4477.29,4517.07,4452.86,4510.22,183051,23
2026-01-12,4521.15,4630.12,4521.04,4593.75,210385,23
2026-01-13,4596.71,4634.56,4569.78,4587.85,200327,23
2026-01-14,4591.6,4642.88,4591.35,4620.71,229298,23
2026-01-15,4622.31,4624.46,4580.89,4614.76,239829,23
2026-01-16,4618.6,4620.29,4536.64,4594.61,219740,23
2026-01-19,4648.66,4690.55,4644.81,4670.66,158606,23
2026-01-20,4668.59,4766.16,4659.44,4763.32,220949,23
2026-01-21,4762.08,4888.26,4755.53,4836.52,255720,23
2026-01-22,4815.92,4940.64,4772.26,4936.42,224573,24
2026-01-23,4952.04,4989.58,4899.77,4982.44,224338,24
2026-01-26,5014.0,5110.96,4989.9,5014.71,293738,27
2026-01-27,5034.61,5190.26,5013.77,5189.31,281167,27
2026-01-28,5182.28,5402.09,5156.83,5399.72,300553,27
2026-01-29,5440.57,5598.08,5103.39,5393.99,337129,27
2026-01-30,5419.47,5450.51,4690.03,4863.57,365008,39
2026-02-02,4825.15,4884.66,4402.59,4664.12,355815,39
2026-02-03,4700.48,4993.81,4695.25,4938.79,315761,39
2026-02-04,4957.36,5091.83,4851.78,4963.32,276248,33
2026-02-05,4995.05,5023.61,4759.6,4770.46,314978,36
2026-02-06,4776.68,4971.23,4651.04,4960.19,260834,39
2026-02-09,4987.55,5086.46,4964.96,5065.28,231459,39
2026-02-10,5056.64,5078.54,4987.7,5023.25,222976,39
2026-02-11,5033.59,5118.84,5018.59,5078.82,207221,36
2026-02-12,5095.32,5096.18,4878.53,4919.66,214348,36
